Input Port;Fan IN
MUX4TO1_32_MUX4TO1_32_g0_auto_4.i3;1
MUX4TO1_32_MUX4TO1_32_g0_auto_4.i2;1
MUX4TO1_32_MUX4TO1_32_g0_auto_4.i1;1
MUX4TO1_32_MUX4TO1_32_g0_auto_4.i0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_3.s0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_3.i3;1
MUX4TO1_32_MUX4TO1_32_g0_auto_3.i2;1
MUX4TO1_32_MUX4TO1_32_g0_auto_3.i1;1
MUX4TO1_32_MUX4TO1_32_g0_auto_3.i0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_2.s0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_2.i3;1
MUX4TO1_32_MUX4TO1_32_g0_auto_2.i2;1
MUX4TO1_32_MUX4TO1_32_g0_auto_2.i1;1
MUX4TO1_32_MUX4TO1_32_g0_auto_2.i0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_1.s0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_1.i3;1
MUX4TO1_32_MUX4TO1_32_g0_auto_1.i2;1
MUX4TO1_32_MUX4TO1_32_g0_auto_1.i1;1
MUX4TO1_32_MUX4TO1_32_g0_auto_1.i0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_0.s0;1
MUX4TO1_32_MUX4TO1_32_g0_auto_0.i3;1
MUX4TO1_32_MUX4TO1_32_g0_auto_0.i2;1
MUX4TO1_32_MUX4TO1_32_g0_auto_0.i1;1
MUX4TO1_32_MUX4TO1_32_g0_auto_0.i0;1
MUX2TO1_32_MUX2TO1_32_g0_auto_0.s0;1
MUX2TO1_32_MUX2TO1_32_g0_auto_0.i1;1
MUX2TO1_32_MUX2TO1_32_g0_auto_0.i0;1
MUL_D4_32_64_MUL_D4_32_64_g0_auto_7.lohi;1
MUL_D4_32_64_MUL_D4_32_64_g0_auto_7.i1;1
MUL_D4_32_64_MUL_D4_32_64_g0_auto_7.i0;1
MUL_D4_32_64_MUL_D4_32_64_g0_auto_6.lohi;1
